Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
0,-0.208410454,0.036820181,1.090056766,-0.092370859,-0.641968617,0.811162945,-0.105252676,-0.039436448,-0.021849923,3.41796875,-2.624511719,-2.868652344
0.01002,-0.190838348,0.050975502,1.071508433,-0.093347422,-0.643921742,0.811529156,-0.067681469,0.078073502,-0.126836136,4.028320313,-2.624511719,-2.807617188
0.020013,-0.109079161,0.072696597,1.102259617,-0.093591563,-0.644043813,0.811651227,-0.07194487,0.088998467,-0.142290965,4.638671875,-2.685546875,-2.868652344
0.03002,-0.109323218,0.067083282,1.095182012,-0.091882578,-0.640747914,0.811651227,-0.096992344,-0.065549769,-0.021050537,4.333496094,-2.807617188,-2.807617188
0.040015,-0.179611701,0.037552353,1.068579749,-0.09273707,-0.640869984,0.809820172,-0.146820813,-0.077274114,0.068480857,3.051757813,-2.502441406,-2.807617188
0.05002,-0.187421526,0.03242715,1.073216881,-0.09273707,-0.642212758,0.812139508,-0.155081168,0.008526799,-0.019718224,2.44140625,-2.44140625,-2.807617188
0.060014,-0.152521347,0.056100704,1.08639596,-0.093103281,-0.642823109,0.812261578,-0.153482378,0.007460949,-0.08233691,1.892089844,-2.380371094,-2.868652344
0.07002,-0.145199625,0.063178365,1.08322317,-0.091394297,-0.642212758,0.81311607,-0.169736609,-0.022649311,-0.028777948,2.319335938,-2.44140625,-2.868652344
0.080013,-0.156914374,0.065130823,1.088348416,-0.092370859,-0.641724477,0.812017438,-0.181727409,-0.016254211,-0.013056661,3.601074219,-2.624511719,-2.868652344
0.090014,-0.15984307,0.061958079,1.092009222,-0.091272227,-0.640747914,0.812017438,-0.180128634,-0.023182238,0.011191424,4.028320313,-2.685546875,-2.9296875
0.100011,-0.179123587,0.034623666,1.083955389,-0.091394297,-0.640869984,0.813726422,-0.183592647,-0.042900458,0.015721286,3.479003906,-2.563476563,-2.868652344
0.11002,-0.195475432,0.035599895,1.068823854,-0.092126719,-0.642334828,0.815191266,-0.182260334,-0.023182238,-0.040768761,3.356933594,-2.563476563,-2.807617188
0.120014,-0.180587929,0.047802757,1.070288196,-0.092370859,-0.641602406,0.813604352,-0.183059722,0.033574272,-0.077540584,3.784179688,-2.685546875,-2.807617188
0.13002,-0.157158431,0.031206864,1.083955389,-0.09249293,-0.641480336,0.813970563,-0.184658498,-0.004529862,-0.083669223,4.577636719,-2.746582031,-2.868652344
0.14002,-0.190594291,0.027546006,1.06760352,-0.091882578,-0.637818227,0.814336773,-0.208107188,-0.064217456,-0.091396637,5.126953125,-2.746582031,-2.868652344
0.150019,-0.201820914,0.038040467,1.067847626,-0.091272227,-0.638184438,0.814092633,-0.209705979,0.023981623,-0.13243185,4.821777344,-2.746582031,-2.807617188
0.160013,-0.164724211,0.048290872,1.104944293,-0.091516367,-0.638428578,0.814580914,-0.203310877,0.089264929,-0.18599081,4.8828125,-2.807617188,-2.868652344
0.170021,-0.148128321,0.083923232,1.128861881,-0.090295664,-0.636719594,0.816289898,-0.209173039,0.067947932,-0.110315464,4.699707031,-2.685546875,-2.868652344
0.18002,-0.156182203,0.071476312,1.123980741,-0.090906016,-0.637574086,0.816167828,-0.186257273,0.051160797,0.008793262,3.967285156,-2.685546875,-2.9296875
0.19002,-0.164236097,0.042433498,1.12471296,-0.091394297,-0.637085805,0.81702232,-0.155880541,0.037038282,0.016254211,3.723144531,-2.502441406,-2.807617188
0.200015,-0.176683017,0.04048104,1.117147144,-0.090783945,-0.636231313,0.815679547,-0.131099537,0.004796324,0.002664625,4.028320313,-2.563476563,-2.807617188
0.21002,-0.180343872,0.033647436,1.101771503,-0.091394297,-0.636109242,0.817388531,-0.110848397,0.013323124,0,3.723144531,-2.624511719,-2.807617188
